Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2009 Toyota Scion Xd,$ 275 USD,1,JTKKU10489J036279,191 623 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 3 196 USD,$ 5 800 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2018 Chevrolet Malibu Lt,$ 3 500 USD,1,1G1ZD5ST0JF217071,84 646 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 13 049 USD,$ 15 175 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,
2020 Freightliner M2 106 Medium Duty,$ 9 900 USD,1,3ALHCYFE6LDLX2440,,16.05.2024 16:00 UTC,9.0l 6,,Белый,Автоматическая,Дизель,задний привод,,улучшенные транспортные средства,""CORPUS CHRISTI, ARIZONA"",$ 0 USD,$ 52 550 USD,AZ - CERT OF TITLE - SALVAGE,Аренда,Опрокидывание/Перевертышь,
2018 Chevrolet Express G2500,$ 4 600 USD,1,1GCWGBFP3J1339336,136 952 mi(подтвержден),16.05.2024 17:00 UTC,4.3l 6,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 20 329 USD,$ 0 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,
2014 Toyota Camry L,$ 3 300 USD,1,4T1BF1FK5EU800729,34 247 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 17 250 USD,$ 11 325 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Опрокидывание/Перевертышь,
2013 Nissan Sentra S,$ 1 100 USD,1,3N1AB7AP3DL712727,81 986 mi,16.05.2024 17:00 UTC,1.8l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 7 968 USD,$ 5 750 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение передней части,Незначительная вмятина/царапины
2016 Ford Taurus Sel,$ 1 700 USD,1,1FAHP2E86GG100748,108 117 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 13 293 USD,$ 11 275 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2023 Toyota Tacoma Double Cab,$ 19 600 USD,1,3TYAZ5CN6PT030291,37 246 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 0 USD,$ 36 975 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2011 Ford Explorer Xlt,$ 500 USD,1,1FMHK7D88BGA17057,194 697 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 6 113 USD,$ 7 650 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2016 Audi A6 Premium,$ 5 500 USD,1,WAUCFAFC3GN157664,131 397 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 8 582 USD,$ 14 175 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение ходовой части,
2016 Honda Fit Lx,$ 2 200 USD,1,JHMGK5H59GX012542,107 388 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,хэтчбек,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 9 861 USD,$ 12 200 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
1999 Ford Econoline E450 Super Duty Cutaway Van Rv,$ 1 350 USD,1,1FDXE40S1XHB22138,50 823 mi(подтвержден),16.05.2024 16:00 UTC,6.8l 10,моторизованный,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SUN VALLEY, CALIFORNIA"",$ 20 946 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,
2020 Harley-davidson Xl883 N,$ 3 200 USD,1,1HD4LE212LB433564,8 319 mi(подтвержден),16.05.2024 17:00 UTC,2,,Черный,Автоматическая,Бензин,,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 4 340 USD,$ 0 USD,TN - CERTIFICATE OF TITLE,Столкновение,Незначительная вмятина/царапины,
2016 Ford Escape Se,$ 2 650 USD,1,1FMCU0GX6GUB06729,69 166 mi(подтвержден),16.05.2024 17:00 UTC,1.6l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 10 894 USD,$ 9 850 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,
2018 Acura Rdx Technology,$ 3 500 USD,1,5J8TB4H54JL024589,53 624 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""ELGIN, ILLINOIS"",$ 23 809 USD,$ 19 925 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2005 Dodge Ram 1500 St,$ 2 400 USD,1,1D7HA18N75S360745,141 096 mi(подтвержден),16.05.2024 17:00 UTC,4.7l 8,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 8 551 USD,$ 6 475 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части
2011 Volvo S40 T5,$ 275 USD,1,YV1672MSXB2538543,115 592 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 5,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 0 USD,$ 8 350 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Механическое повреждение
2018 Bmw X4 Xdrive28i,$ 1 350 USD,2,5UXXW3C50J0T80544,,16.05.2024 18:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""ALBUQUERQUE, NEW MEXICO"",$ 0 USD,$ 21 200 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2020 Kawasaki Ex400,$ 1 500 USD,1,JKAEXKH14LDA67611,1 932 mi(подтвержден),16.05.2024 17:00 UTC,2,,Двухцветный,Механическая,Бензин,,Ключи присутствуют,двигатель запускается,""DALLAS, TEXAS"",$ 5 790 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Механическое повреждение,Повсюду
2015 Acura Tlx Tech,$ 4 100 USD,1,19UUB1F5XFA013122,127 878 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 11 611 USD,$ 14 650 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение стороны
2020 Harley-davidson Fltrx,$ 3 550 USD,1,1HD1KHC17LB643115,,16.05.2024 17:00 UTC,2,,Зеленый,Механическая,Бензин,,,улучшенные транспортные средства,""EXETER, RHODE ISLAND"",$ 0 USD,$ 0 USD,RI - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение задней части
2017 Toyota Camry Le,$ 3 850 USD,2,4T1BF1FK6HU754039,111 869 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEWTON, FLORIDA"",$ 10 306 USD,$ 15 850 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Повреждение задней части,
2007 Dodge Ram 1500 St,$ 975 USD,1,1D7HA182X7S157826,248 730 mi(подтвержден),16.05.2024 17:00 UTC,5.7l 8,,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 5 098 USD,$ 8 850 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Град
2005 Freightliner Conventional Columbia,$ 400 USD,1,1FUJA6CK75LU66556,,16.05.2024 16:00 UTC,6,трактор,Красный,Механическая,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 70 814 USD,$ 0 USD,TN - NON-REPAIRABLE CERTIFICATE,Материальный ущерб,Опрокидывание/Перевертышь,
2018 Can-am Defender Max Dps Hd10,$ 3 850 USD,1,3JBUBAP48JK000237,,16.05.2024 17:00 UTC,2,,Зеленый,Автоматическая,Бензин,,Ключи присутствуют,,""CONWAY, TEXAS"",$ 10 450 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Механическое повреждение,
2005 Gmc Jimmy Sls,$ 275 USD,2,1GKCT18X55K113373,159 545 mi,16.05.2024 14:00 UTC,4.3l 6,,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""WAYLAND, MICHIGAN"",$ 0 USD,$ 0 USD,MI - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,
2010 Toyota Corolla Base,$ 1 500 USD,1,1NXBU4EE0AZ179865,189 554 mi,16.05.2024 14:00 UTC,1.8l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WAYLAND, MICHIGAN"",$ 5 438 USD,$ 8 175 USD,MI - CERTIFICATE OF TITLE,Столкновение,Повсюду,
2018 Subaru Outback 2.5i Premium,$ 3 850 USD,1,4S4BSADC8J3341266,91 789 mi(подтвержден),16.05.2024 14:00 UTC,2.5l 4,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""WAYLAND, MICHIGAN"",$ 13 246 USD,$ 20 250 USD,MI - CERT OF TITLE-SALVAGE VEHICLE,Столкновение,Повреждение передней части,Повреждение задней части
2016 Chevrolet Silverado K1500 Ltz,$ 6 900 USD,1,3GCUKSEC4GG233265,90 566 mi(подтвержден),16.05.2024 14:00 UTC,5.3l 8,,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""MARLBORO, NEW YORK"",$ 23 992 USD,$ 27 975 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2005 Pontiac G6 Gt,$ 275 USD,1,1G2ZH528954160267,132 169 mi,16.05.2024 17:00 UTC,3.5l 6,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEWTON, FLORIDA"",$ 4 448 USD,$ 4 338 USD,FL - CERT OF TITLE SLVG REBUILDABLE,Столкновение,Повреждение передней части,
2017 Nissan Maxima 3.5s,$ 3 000 USD,2,1N4AA6AP3HC380371,84 994 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Темно-бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""ELGIN, WISCONSIN"",$ 7 269 USD,$ 12 925 USD,WI - SALVAGE - MULTIPLE BRANDS,Кража,Вандализм,Повреждение стороны
2018 Polaris Rzr Xp 4 Turbo Eps,$ 5 500 USD,1,3NSVFE929JF944709,1 775 mi(подтвержден),16.05.2024 17:00 UTC,2,,Оранжевый,Автоматическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 20 186 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части
2014 Volkswagen Passat Se,$ 2 300 USD,2,1VWBH7A38EC015755,158 358 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 5,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 6 853 USD,$ 6 500 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,Повреждение задней части
2017 Bmw X3 Xdrive35i,$ 4 200 USD,1,5UXWX7C5XH0S19970,71 543 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,,Бежевый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 9 626 USD,$ 17 125 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2018 Harley-davidson Flhtcutg Tri Glide Ultra,$ 9 800 USD,1,1HD1MAD14JB850090,,16.05.2024 17:00 UTC,2,,Красный,Механическая,Бензин,,,улучшенные транспортные средства,""BARBERTON, OHIO"",$ 0 USD,$ 0 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,
2013 Volkswagen Passat S,$ 1 150 USD,1,1VWAP7A36DC024273,120 348 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 5,4-дверный седан,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 7 396 USD,$ 8 150 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны
2003 Aljo Trailer,$ 1 250 USD,1,1SY200L263B000126,,16.05.2024 16:00 UTC,,,Белый,,,,Ключи присутствуют,улучшенные транспортные средства,""SACRAMENTO, CALIFORNIA"",$ 14 614 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Ураган,Верх/крыша,
2014 Audi Q7 Premium,$ 2 150 USD,1,WA1CGAFEXED010823,137 073 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,,Угольный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 6 356 USD,$ 9 650 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2016 Jeep Cherokee Latitude,$ 6 800 USD,1,1C4PJMCB0GW120100,96 972 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Угольный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 510 USD,$ 14 725 USD,TX - CERTIFICATE OF TITLE,Град,Град,Незначительная вмятина/царапины
2019 Harley-davidson Flsl,$ 3 950 USD,1,1HD1YDJ24KB045047,,16.05.2024 17:00 UTC,2,,Синий,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""MOCKSVILLE, NORTH CAROLINA"",$ 13 171 USD,$ 0 USD,NC - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повсюду,
2023 International Mv607,$ 37 500 USD,1,3HAEUMML2PL536415,9 300 mi,16.05.2024 16:00 UTC,6.7l 6,,Черный,,Дизель,задний привод,Ключи присутствуют,,""LEBANON, TENNESSEE"",$ 161 444 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2022 Toyota Highlander Platinum,$ 12 900 USD,1,5TDFZRAH7NS127115,20 367 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 42 785 USD,$ 39 900 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части
2020 Harley-davidson Xl1200 Ns,$ 2 400 USD,1,1HD1LP317LB407779,9 946 mi(подтвержден),16.05.2024 17:00 UTC,2,,Серый,,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""DALLAS, TEXAS"",$ 10 264 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение рамы,Повреждение стороны
2018 Toyota Camry L,$ 8 600 USD,1,JTNB11HK7J3032960,189 791 mi(подтвержден),16.05.2024 16:00 UTC,2.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""Greenwell springs, MISSISSIPPI"",$ 0 USD,$ 19 450 USD,MS - CERTIFICATE OF TITLE,Изьятие,Нормальный износ,
2017 Nissan Versa S,$ 1 900 USD,1,3N1CN7AP3HL870863,96 484 mi(подтвержден),16.05.2024 17:00 UTC,1.6l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 9 065 USD,$ 9 000 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение передней части
2021 Bmw X4 Xdrive30i,$ 16 800 USD,1,5UX2V1C0XM9G95666,39 962 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 28 295 USD,$ 39 050 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2011 Chevrolet Impala Ltz,$ 1 550 USD,1,2G1WC5EM2B1183556,95 024 mi(подтвержден),16.05.2024 16:00 UTC,3.9l 6,,Серебряный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""OCALA, FLORIDA"",$ 0 USD,$ 6 150 USD,FL - CERTIFICATE OF TITLE,Изьятие,Незначительная вмятина/царапины,
2010 Chevrolet Traverse Lt,$ 400 USD,2,1GNLVGED6AS154583,,16.05.2024 17:00 UTC,3.6l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 3 490 USD,$ 5 625 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части
2015 Ford Explorer Sport,$ 4 850 USD,9,1FM5K8GT6FGA81838,166 894 mi(подтвержден),16.05.2024 14:00 UTC,3.5l 6,4-дверный спорт,Серый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""EAST GRANBY, CONNECTICUT"",$ 0 USD,$ 13 000 USD,CT - CERTIFICATE OF TITLE,Дилерские услуги Copart,Вода/Наводнение,Повреждение стороны
2005 Toyota 4runner Limited,$ 2 000 USD,1,JTEBT17R958022139,,16.05.2024 17:00 UTC,4.7l 8,,Черный,Автоматическая,Бензин,Полный привод,,,""EARLINGTON, INDIANA"",$ 0 USD,$ 8 225 USD,IN - CERT OF TITLE-SALVAGE TITLE,Неизвестно,Опрокидывание/Перевертышь,Повсюду
2019 Harley-davidson Fltrxs,$ 4 400 USD,1,1HD1KTP11KB616181,,16.05.2024 17:00 UTC,2,,Белый,Механическая,Бензин,,,улучшенные транспортные средства,""DALLAS, TEXAS"",$ 0 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Кража,Повреждение передней части,Повсюду
2013 Audi Q7 Prestige,$ 1 850 USD,1,WA1DGAFE4DD011310,170 187 mi(подтвержден),16.05.2024 17:00 UTC,3.0l 6,,Коричневый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NEWTON, ALABAMA"",$ 10 312 USD,$ 9 725 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение задней части,
2009 Toyota Corolla Base,$ 1 600 USD,2,1NXBU40E59Z074726,80 421 mi,16.05.2024 17:00 UTC,1.8l 4,,Желто-коричневый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 4 618 USD,$ 6 675 USD,MN - PARTS VEHICLE BILL OF SALE,Столкновение,Повреждение задней части,
2015 Honda Crosstour Exl,$ 1 250 USD,1,5J6TF1H50FL002012,200 665 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 7 205 USD,$ 13 625 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2015 Chevrolet Silverado K1500 Lt,$ 6 800 USD,1,3GCUKREC8FG484569,162 274 mi(подтвержден),16.05.2024 17:00 UTC,5.3l 8,,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 15 800 USD,$ 21 125 USD,TN - SALVAGE CERTIFICATE,Кража,Повреждение передней части,Повреждение стороны
2017 Kawasaki Er650 H,$ 925 USD,1,JKAEREH15HDA01376,,16.05.2024 17:00 UTC,2,,Белый,Механическая,Бензин,,,улучшенные транспортные средства,""ARLINGTON, WASHINGTON"",$ 2 747 USD,$ 0 USD,WA - BILL OF SALE,Кража,Повреждение передней части,Повреждение стороны
2016 Ford F150 Supercrew,$ 4 950 USD,1,1FTEW1CG7GFB28777,109 639 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SHREVEPORT, LOUISIANA"",$ 17 249 USD,$ 23 150 USD,LA - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение рамы,Повреждение задней части
2002 Nissan Xterra Se,$ 300 USD,1,5N1MD28T32C589669,,16.05.2024 17:00 UTC,3.3l 6,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,,""EARLINGTON, KENTUCKY"",$ 2 730 USD,$ 0 USD,KY - CERT OF TITLE-SALVAGE,Пожар,Пожар двигателя,Повсюду
2018 Kawasaki Er650 H,$ 500 USD,1,JKAEREH17JDA27628,,16.05.2024 17:00 UTC,2,,Черный,Механическая,Бензин,,,,""BROOKHAVEN, NEW YORK"",$ 7 257 USD,$ 0 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2018 Polaris Ranger Crew Xp 900,$ 6 300 USD,1,4XARVA876J8504689,1 354 mi(подтвержден),16.05.2024 17:00 UTC,2,,Зеленый,Автоматическая,Бензин,,Ключи присутствуют,заводится и едет,""MORAINE, OHIO"",$ 9 699 USD,$ 0 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2004 Chevrolet C5500 C5u042,$ 5 200 USD,1,1GBE5U1E24F510141,38 415 mi(подтвержден),16.05.2024 16:00 UTC,8,моторизованный,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""COLTON, CALIFORNIA"",$ 33 427 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2009 Audi A5 Quattro,$ 325 USD,3,WAUDK78TX9A047317,121 529 mi(подтвержден),16.05.2024 17:00 UTC,3.2l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""ELGIN, ILLINOIS"",$ 10 057 USD,$ 6 250 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части
2014 Hyundai Elantra Se,$ 2 150 USD,1,5NPDH4AE6EH473584,136 815 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BLAINE, MINNESOTA"",$ 3 846 USD,$ 7 900 USD,MN - CERT OF TITLE-PRIOR SALVAGE,Кража,Повреждение передней части,
2017 Jeep Grand Cherokee Laredo,$ 2 700 USD,1,1C4RJEAG9HC622698,155 880 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""NEWTON, FLORIDA"",$ 11 840 USD,$ 16 000 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Повреждение передней части,
2012 Dodge Charger Se,$ 650 USD,1,2C3CDXBG1CH103405,345 043 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,двигатель запускается,""MONTGOMERY, ALABAMA"",$ 8 439 USD,$ 6 750 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,
2013 Freightliner Cascadia 125,$ 3 100 USD,1,1FUJGLDR2DLBE8432,,16.05.2024 16:00 UTC,14.8l 6,трактор,Красный,Механическая,Дизель,задний привод,Ключи присутствуют,,""MEMPHIS, TENNESSEE"",$ 0 USD,$ 23 600 USD,TN - NON-REPAIRABLE CERTIFICATE,Столкновение,Повреждение ходовой части,
2014 Volkswagen Passat S,$ 2 250 USD,1,1VWAT7A38EC076324,127 588 mi(подтвержден),16.05.2024 17:00 UTC,1.8l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 7 302 USD,$ 7 725 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,
2017 Yamaha Fz09,$ 5 700 USD,1,JYARN53E2HA000595,5 520 mi(подтвержден),16.05.2024 17:00 UTC,3,,Черный,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""DALLAS, TEXAS"",$ 7 453 USD,$ 0 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение стороны,
2019 Toyota Camry L,$ 7 400 USD,1,4T1B11HK2KU722014,63 409 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 13 699 USD,$ 19 550 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2013 Cros Elevation,$ 11 900 USD,1,4V0FC4035DE011979,,16.05.2024 16:00 UTC,,,Желто-коричневый,,,,Ключи присутствуют,улучшенные транспортные средства,""COLUMBIA, MISSOURI"",$ 0 USD,$ 0 USD,MO - SALVAGE CERTIFICATE OF TITLE,Град,Град,
2013 Volkswagen Cc Sport,$ 1 350 USD,1,WVWBP7AN4DE542170,110 227 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BALTIMORE, MARYLAND"",$ 6 480 USD,$ 4 750 USD,MD - CERT OF SALVAGE < 75% DAMAGE,Кража,Повреждение передней части,
2017 Hyundai Elantra Gt,$ 650 USD,1,KMHD35LH8HU375335,85 845 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""EXETER, MASSACHUSETTS"",$ 9 455 USD,$ 11 375 USD,MA - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,Механическое повреждение
2015 Suzuki Vl1500 B,$ 1 900 USD,1,JS1VY56A2F2100054,,16.05.2024 17:00 UTC,2,,Фиолетовый,Автоматическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""RIVERVIEW, FLORIDA"",$ 0 USD,$ 0 USD,FL - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,
2012 Subaru Legacy 2.5i,$ 90 USD,1,4S3BMBA69C3008337,,16.05.2024 17:00 UTC,2.5l 4,4-дверный седан,Синий,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""SHREVEPORT, LOUISIANA"",$ 12 326 USD,$ 6 150 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,
