Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач
2021 Toyota Rav4 Prime Se,$ 14 600 USD,1,JTMAB3FV0MD051614,42 320 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Черный,Гибрид,Полный привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 22 913 USD,$ 33 925 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение ходовой части,Автоматическая
2012 Chevrolet Malibu Ls,$ 200 USD,1,1G1ZA5E0XCF381375,161 418 mi,13.05.2024 14:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"ANGOLA, NEW YORK",$ 4 196 USD,$ 5 800 USD,NY - MV-907A SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2016 Honda Accord Lx,$ 4 250 USD,1,1HGCR2F30GA200172,142 159 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"ADELANTO, CALIFORNIA",$ 8 486 USD,$ 13 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2015 Kia Sorento Lx,$ 1 700 USD,5,5XYKTDA71FG651997,155 423 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,4-дверный спорт,Бордовый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 9 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2020 Toyota Tacoma Double Cab,$ 17 300 USD,1,5TFAX5GN0LX185791,36 537 mi(подтвержден),13.05.2024 19:00 UTC,2.7l 4,,Серебряный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 1 000 USD,$ 29 650 USD,CA - CERTIFICATE OF TITLE,Кража,Заменен VIN,,Автоматическая
2023 Kia Forte Lx,$ 8 300 USD,1,3KPF24AD5PE516580,30 365 mi(подтвержден),13.05.2024 19:00 UTC,2 L 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 18 208 USD,$ 21 000 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение стороны,Повреждение передней части,Автоматическая
2022 Acura Tlx Technology,$ 8 900 USD,1,19UUB5F44NA003019,,13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 16 000 USD,$ 31 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2007 Lincoln Mkz,$ 300 USD,1,3LNHM26T87R616958,217 601 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 3 878 USD,$ 3 213 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2023 Hyundai Elantra Sel,$ 10 300 USD,1,KMHLS4AG9PU602906,5 855 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 18 525 USD,$ 24 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2015 Honda Accord Exl,$ 6 000 USD,1,1HGCR3F84FA031127,87 889 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 12 950 USD,$ 13 200 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение ходовой части,Повреждение передней части,Автоматическая
2006 Jeep Grand Cherokee Laredo,$ 675 USD,1,1J4GS48K26C290927,155 187 mi,13.05.2024 19:00 UTC,3.7l 6,,Серый,Бензин,задний привод,Ключи присутствуют,двигатель запускается,"ADELANTO, CALIFORNIA",$ 0 USD,$ 4 288 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Дилерские услуги Copart,Незначительная вмятина/царапины,,Автоматическая
2007 Cadillac Escalade Luxury,$ 2 600 USD,1,1GYFK63887R201511,98 345 mi,13.05.2024 19:00 UTC,6.2l 8,,Белый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,"ADELANTO, CALIFORNIA",$ 10 560 USD,$ 6 975 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение стороны,Автоматическая
2021 Lexus Es 350 Base,$ 17 500 USD,2,58AHZ1B15MU091077,50 933 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 12 117 USD,$ 38 250 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Изьятие,Повсюду,,Автоматическая
2016 Nissan Versa S,$ 2 000 USD,2,3N1CN7AP0GL916356,102 681 mi(подтвержден),13.05.2024 19:00 UTC,1.6l 4,4-дверный седан,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 6 906 USD,$ 8 000 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая
2002 Toyota Sequoia Limited,$ 175 USD,1,5TDZT38A12S128048,,13.05.2024 19:00 UTC,4.7l 8,,Серебряный,Бензин,задний привод,,,"ADELANTO, CALIFORNIA",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Кража,Разукомплектовано,Повсюду,Автоматическая
2024 Nissan Sentra Sv,$ 6 800 USD,1,3N1AB8CV2RY282605,2 279 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"ADELANTO, CALIFORNIA",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2017 Nissan Rogue Sport S,$ 3 250 USD,4,JN1BJ1CP4HW031106,179 339 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 13 200 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Дилерские услуги Copart,Повреждение стороны,,Автоматическая
2022 Toyota Tacoma Access Cab,$ 4 100 USD,1,3TYRX5GN5NT056011,45 605 mi(подтвержден),13.05.2024 19:00 UTC,2.7l 4,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 0 USD,$ 29 400 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,Автоматическая
2017 Hyundai Accent Se,$ 1 800 USD,1,KMHCT5AE6HU311525,46 926 mi,13.05.2024 19:00 UTC,1.6l 4,хэтчбек,Серый,Бензин,передний привод,,заводится и едет,"MARTINEZ, CALIFORNIA",$ 3 333 USD,$ 9 475 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,Повсюду,Автоматическая
2016 Mini Cooper Clubman,$ 2 100 USD,1,WMWLN5C57G2B28009,94 870 mi(подтвержден),13.05.2024 19:00 UTC,1.5l 3,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 10 740 USD,$ 10 875 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,,Автоматическая
2019 Jeep Cherokee Latitude,$ 5 200 USD,2,1C4PJLCB8KD331639,65 608 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Темно-бордовый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, TEXAS",$ 0 USD,$ 17 525 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повсюду,Повреждение ходовой части,Автоматическая
2016 Nissan Altima 2.5,$ 2 400 USD,1,1N4AL3AP0GN314906,137 791 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 10 394 USD,$ 9 925 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,Автоматическая
2018 Toyota Camry L,$ 6 100 USD,1,4T1B11HK8JU600174,68 592 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 21 988 USD,$ 21 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2018 Toyota Camry L,$ 6 100 USD,1,4T1B11HK8JU600174,68 592 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 21 988 USD,$ 21 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2024 Hyundai Tucson Limited,$ 4 100 USD,6,5NMJECDE8RH346551,7 832 mi,13.05.2024 19:00 UTC,2.5l 4,,Черный,Бензин,Полный привод,,улучшенные транспортные средства,"LOS ANGELES, FLORIDA",$ 0 USD,$ 37 225 USD,FL - CERTIFICATE OF DESTRUCTION,Дилерские услуги Copart,Повсюду,,Автоматическая
2017 Nissan Sentra S,$ 175 USD,1,3N1AB7AP4HY279184,,13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,передний привод,,улучшенные транспортные средства,"ADELANTO, CALIFORNIA",$ 10 963 USD,$ 9 425 USD,CA - NON-REPAIRABLE VEHICLE CERT,Столкновение,Пожар,Отсутствует/Изменен VIN,Автоматическая
2000 Honda Sa50 P,$ 325 USD,1,3H1AF1618YD602495,7 249 mi,13.05.2024 18:00 UTC,1,,Желтый,Бензин,,Ключи присутствуют,,"LITTLETON, COLORADO",$ 0 USD,$ 0 USD,CO - BILL OF SALE-PARTS ONLY,Пожертвование,Повреждение стороны,,Механическая
2014 Hyundai Santa Fe Sport,$ 3 550 USD,1,5XYZU3LB0EG184240,93 737 mi(подтвержден),13.05.2024 18:00 UTC,2.4l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 9 200 USD,CO - CERTIFICATE OF TITLE,Диллерский коносамент,Повреждение передней части,Повреждение задней части,Автоматическая
2015 Lincoln Mkz Hybrid,$ 3 450 USD,1,3LN6L2LU0FR629340,88 089 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Гибрид,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 12 200 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2015 Subaru Forester 2.5i Premium,$ 1 550 USD,2,JF2SJADC4FH470298,147 080 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 0 USD,$ 11 175 USD,NV - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение передней части,Повреждение стороны,Автоматическая
2005 Toyota Prius,$ 375 USD,2,JTDKB20U653032992,715 712 mi,13.05.2024 19:00 UTC,1.5l 4,,Синий,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,"ADELANTO, CALIFORNIA",$ 0 USD,$ 5 900 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Публичный коносамент,Повреждение передней части,Повреждение задней части,Автоматическая
2022 Toyota 4runner Sr5 Premium,$ 34 000 USD,1,JTELU5JRXN5999373,29 655 mi(подтвержден),13.05.2024 19:00 UTC,4.0l 6,,Зеленый,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 28 252 USD,$ 52 600 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение стороны,,Автоматическая
2020 Toyota Corolla Le,$ 4 200 USD,1,5YFEPRAE0LP140351,34 380 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 18 325 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2016 Honda Odyssey Touring,$ 6 600 USD,1,5FNRL5H93GB159654,108 173 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 15 822 USD,$ 18 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2006 Toyota Corolla Ce,$ 1 300 USD,1,1NXBR32E46Z688932,299 999 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 6 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение задней части,Автоматическая
2015 Toyota Corolla L,$ 3 600 USD,1,2T1BURHE3FC402112,81 698 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 10 000 USD,$ 10 950 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2016 Chevrolet Suburban C1500 Lt,$ 1 900 USD,2,1GNSCHKC4GR338701,144 524 mi(подтвержден),13.05.2024 19:00 UTC,5.3l 8,4-дверный спорт,Черный,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,"ADELANTO, CALIFORNIA",$ 19 220 USD,$ 21 800 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2016 Honda Hr-v Lx,$ 4 550 USD,1,3CZRU6H32GM717806,123 263 mi(подтвержден),13.05.2024 18:00 UTC,1.8l 4,,Серебряный,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,"LITTLETON, COLORADO",$ 0 USD,$ 13 650 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Механическое повреждение,Незначительная вмятина/царапины,Автоматическая
2019 Honda Hr-v Touring,$ 7 900 USD,1,3CZRU6H97KM719189,43 680 mi(подтвержден),13.05.2024 19:00 UTC,1.8l 4,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 20 062 USD,$ 21 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,Повреждение ходовой части,Автоматическая
2014 Hyundai Santa Fe Gls,$ 2 200 USD,1,KM8SNDHF4EU058683,128 007 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 16 338 USD,$ 10 400 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая
2007 Gmc Yukon Denali,$ 2 100 USD,1,1GKFK63807J283615,204 070 mi(подтвержден),13.05.2024 18:00 UTC,6.2l 8,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 8 500 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Град,,Автоматическая
2023 Toyota Corolla Le,$ 9 500 USD,1,JTDB4MEE0P3015843,21 915 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 13 704 USD,$ 24 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2016 Buick Verano Convenience,$ 1 350 USD,2,1G4PR5SK9G4144127,205 785 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Красный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 3 307 USD,$ 10 250 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Незначительная вмятина/царапины,,Автоматическая
2007 Gmc Yukon Denali,$ 2 100 USD,1,1GKFK63807J283615,204 070 mi(подтвержден),13.05.2024 18:00 UTC,6.2l 8,,Серебряный,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 8 500 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Град,,Автоматическая
2023 Toyota Corolla Le,$ 9 500 USD,1,JTDB4MEE0P3015843,21 915 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 13 704 USD,$ 24 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Автоматическая
2016 Buick Verano Convenience,$ 1 350 USD,2,1G4PR5SK9G4144127,205 785 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Красный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 3 307 USD,$ 10 250 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Незначительная вмятина/царапины,,Автоматическая
2004 Nissan Xterra Xe,$ 325 USD,1,5N1ED28T74C645202,199 149 mi(подтвержден),13.05.2024 19:00 UTC,3.3l 6,,Черный,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 5 305 USD,$ 5 025 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Механическое повреждение,Повсюду,Автоматическая
2021 Gmc Sierra K1500 At4,$ 26 250 USD,10,1GTP9EED3MZ289891,29 867 mi(подтвержден),13.05.2024 19:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 0 USD,$ 47 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2020 Bmw 750 Xi,$ 22 200 USD,2,WBA7U2C09LGM27650,30 186 mi(подтвержден),13.05.2024 19:00 UTC,4.4l 8,,Темно-бордовый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 50 920 USD,$ 47 700 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая
2007 Gmc New Sierra C1500,$ 50 USD,1,2GTEC130X71617547,,13.05.2024 19:00 UTC,5.3l 8,пикап экипажа,Белый,Этанолосодержащий бензин,задний привод,,улучшенные транспортные средства,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 7 525 USD,CA - SALVAGE CERTIFICATE,Кража,Вандализм,Разукомплектовано,
2004 Kia Spectra Lx,$ 350 USD,2,KNAFE122245012771,177 541 mi,13.05.2024 18:00 UTC,2.0l 4,,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LITTLETON, COLORADO",$ 0 USD,$ 0 USD,CO - CERTIFICATE OF TITLE,Публичный коносамент,Повреждение передней части,Град,Автоматическая
2020 Mercedes-benz Gle 350 4matic,$ 23 000 USD,1,4JGFB4KE3LA083941,70 569 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Черный,Бензин,Полный привод,Ключи присутствуют,,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 39 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2011 Nissan Leaf Sv,$ 950 USD,8,JN1AZ0CPXBT007786,56 783 mi(подтвержден),13.05.2024 19:00 UTC,,хэтчбек,Серебряный,Электричество,передний привод,Ключи присутствуют,заводится и едет,"LOS ANGELES, CALIFORNIA",$ 0 USD,$ 4 075 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Диллерский коносамент,Повреждение передней части,,Автоматическая
2018 Toyota Camry L,$ 6 700 USD,1,4T1B11HK6JU571273,121 857 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 18 250 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2006 Dodge Dakota Quad Slt,$ 850 USD,3,1D7HE48N46S583204,130 375 mi,13.05.2024 19:00 UTC,4.7l 8,,Серый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 7 183 USD,$ 4 675 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая
2013 Toyota Camry L,$ 2 250 USD,1,4T1BF1FK0DU242223,170 832 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 9 292 USD,$ 9 875 USD,AZ - CERT OF TITLE - SALVAGE,Материальный ущерб,Повреждение передней части,Повреждение задней части,Автоматическая
2023 Kia Sportage Lx,$ 11 400 USD,1,KNDPUCAG8P7051134,72 827 mi(подтвержден),13.05.2024 19:00 UTC,1.6l 4,,Белый,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 19 254 USD,$ 29 725 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,Автоматическая
2016 Chevrolet Camaro Ss,$ 200 USD,1,1G1FH1R72G0142927,,13.05.2024 19:00 UTC,6.2l 8,,Черный,Бензин,задний привод,Ключи присутствуют,,"ADELANTO, CALIFORNIA",$ 25 672 USD,$ 24 350 USD,CA - NON-REPAIRABLE VEHICLE CERT,Кража,Разукомплектовано,,
2012 Nissan Altima Base,$ 1 050 USD,1,1N4AL2AP6CN550710,172 049 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 5 673 USD,$ 5 450 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,,Автоматическая
2013 Hyundai Tucson Gls,$ 850 USD,1,KM8JU3AC6DU672271,79 940 mi(подтвержден),13.05.2024 19:00 UTC,2.4l 4,,Красный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"PHOENIX, ARIZONA",$ 20 737 USD,$ 7 875 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2020 Mercedes-benz Glc 350e,$ 175 USD,1,W1N0G5DBXLF779762,,13.05.2024 19:00 UTC,2.0l 4,,Белый,Гибрид,Полный привод,,улучшенные транспортные средства,"ADELANTO, CALIFORNIA",$ 0 USD,$ 48 325 USD,CA - NON-REPAIRABLE VEHICLE CERT,Пожар,Пожар,,Автоматическая
1998 Mercedes-benz Slk 230 Kompressor,$ 450 USD,1,WDBKK47F3WF061688,224 074 mi(подтвержден),13.05.2024 19:00 UTC,2.3l 4,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Незначительная вмятина/царапины,,Автоматическая
2011 Dodge Ram 1500,$ 2 950 USD,1,1D7RB1CT7BS570085,191 369 mi(подтвержден),13.05.2024 19:00 UTC,5.7l 8,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"MARTINEZ, CALIFORNIA",$ 0 USD,$ 11 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2013 Lexus Es 350,$ 2 950 USD,1,JTHBK1GG3D2025737,85 238 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Золотой,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 17 184 USD,$ 11 400 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2021 Ram 1500 Classic Slt,$ 16 900 USD,1,1C6RR7TTXMS520252,66 799 mi(подтвержден),13.05.2024 16:00 UTC,5.7l 8,,Серебряный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"ANDERSON, CALIFORNIA",$ 0 USD,$ 32 400 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Аренда,Незначительная вмятина/царапины,,Автоматическая
2001 Honda Civic Lx,$ 375 USD,1,1HGEM22501L032267,157 390 mi,13.05.2024 19:00 UTC,1.7l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 4 625 USD,$ 0 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,,Автоматическая
2019 Ford Fusion Titanium,$ 6 100 USD,1,3FA6P0SU2KR286383,53 588 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Угольный,Гибрид,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 14 114 USD,$ 20 375 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2017 Toyota Highlander Se,$ 7 400 USD,1,5TDKZRFH7HS525260,61 260 mi(подтвержден),13.05.2024 19:00 UTC,3.5l 6,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 17 097 USD,$ 24 750 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,Автоматическая
2011 Toyota Camry Base,$ 1 600 USD,2,4T1BF3EK5BU729931,105 763 mi(подтвержден),13.05.2024 19:00 UTC,2.5l 4,,Золотой,Бензин,передний привод,Ключи присутствуют,заводится и едет,"NORTH LAS VEGAS, NEVADA",$ 7 675 USD,$ 8 525 USD,NV - SALVAGE TITLE,Столкновение,Повреждение задней части,Повреждение стороны,Автоматическая
2017 Chevrolet Trax 1lt,$ 4 100 USD,1,KL7CJLSB9HB160949,62 794 mi(подтвержден),13.05.2024 19:00 UTC,1.4l 4,4-дверный спорт,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 9 365 USD,$ 10 075 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2017 Honda Civic Lx,$ 3 050 USD,1,2HGFC2F59HH536714,129 802 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"SACRAMENTO, CALIFORNIA",$ 9 757 USD,$ 14 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Автоматическая
2015 Jeep Compass Latitude,$ 2 050 USD,1,1C4NJCEA1FD116069,84 605 mi(подтвержден),13.05.2024 19:00 UTC,2.0l 4,,Серый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"PHOENIX, ARIZONA",$ 3 255 USD,$ 8 800 USD,AZ - CERTIFICATE OF TITLE,Конфискат,Повреждение задней части,Повреждение стороны,Автоматическая
2010 Mercedes-benz C 300,$ 550 USD,3,WDDGF5EB6AF468761,179 814 mi(подтвержден),13.05.2024 19:00 UTC,3.0l 6,,Серебряный,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,"ADELANTO, CALIFORNIA",$ 0 USD,$ 6 450 USD,CA - CLEAN TITLE W/SALVAGE HISTORY,Публичный коносамент,Повреждение передней части,,Автоматическая
