Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2004 Chrysler Pt Cruiser Touring,$ 350 USD,1,3C4FY58B24T205916,120 758 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 7 985 USD,$ 5 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2013 Hyundai Elantra Gls,$ 2 300 USD,1,5NPDH4AE7DH161353,168 887 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 7 125 USD,AZ - CERTIFICATE OF TITLE,Неизвестно,Незначительная вмятина/царапины,,
2010 Toyota Scion Xd,$ 1 700 USD,1,JTKKU4B42AJ052299,197 535 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, MONTANA"",$ 0 USD,$ 7 225 USD,MT - CERTIFICATE OF TITLE,Неизвестно,Нормальный износ,,
2008 Nissan 350z Coupe,$ 7 900 USD,1,JN1BZ34E68M751424,141 985 mi,15.05.2024 17:00 UTC,3.5l 6,Черный,Механическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 12 479 USD,$ 10 325 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,купе,
2001 Dodge Dakota,$ 125 USD,3,1B7GG22N81S184706,194 961 mi(подтвержден),15.05.2024 19:00 UTC,4.7l 8,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 4 403 USD,$ 0 USD,WA - BILL OF SALE,Столкновение,Повреждение ходовой части,,Повреждение передней части
2023 Ford Transit T-350,$ 15 700 USD,1,1FTBW3X80PKB67154,1 244 mi,15.05.2024 16:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 45 191 USD,$ 62 900 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
2007 Toyota Fj Cruiser,$ 7 100 USD,1,JTEBU11FX70073114,171 192 mi(подтвержден),15.05.2024 17:00 UTC,4.0l 6,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 15 753 USD,$ 12 150 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,4-дверный спорт,
2009 Audi A4 Premium Plus,$ 1 400 USD,1,WAUSF78K19N024553,181 135 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 4 625 USD,AZ - CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Повреждение задней части
2012 Honda Cr-v Exl,$ 2 250 USD,1,JHLRM3H79CC013138,,15.05.2024 19:00 UTC,2.4l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, CALIFORNIA"",$ 0 USD,$ 10 800 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2017 Nissan Altima 2.5,$ 875 USD,1,1N4AL3APXHC120266,124 878 mi,15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""AIRWAY HEIGHTS, WASHINGTON"",$ 9 199 USD,$ 12 825 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2016 Mercedes-benz Sprinter 2500,$ 1 900 USD,1,8BTPE8DD7GE122002,,15.05.2024 16:00 UTC,2.1l 4,Белый,Автоматическая,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,""VAN NUYS, CALIFORNIA"",$ 0 USD,$ 30 250 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,Повсюду
2016 Chevrolet Malibu Lt,$ 1 200 USD,1,1G1ZF5SX6GF206761,44 311 mi,15.05.2024 19:00 UTC,2.0l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 15 793 USD,$ 11 250 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2024 Chevrolet Trax 1lt,$ 11 500 USD,1,KL77LHE23RC046929,5 313 mi(подтвержден),15.05.2024 17:00 UTC,1.2l 3,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 12 858 USD,$ 7 450 USD,LA - CERTIFICATE OF TITLE,Ураган,Повреждение задней части,,Верх/крыша
2004 Mercury Grand Marquis Ls,$ 350 USD,2,2MEHM75W94X610112,256 576 mi,15.05.2024 19:00 UTC,4.6l 8,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 0 USD,NV - CERT OF TITLE-REBUILT TOTAL LO,Публичный коносамент,Повреждение задней части,,Повреждение стороны
2017 Dodge Charger Sxt,$ 3 600 USD,1,2C3CDXHG5HH523098,108 118 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Серый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 15 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2010 Toyota Venza,$ 2 450 USD,1,4T3BK3BB6AU038591,137 291 mi,15.05.2024 19:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""NORTH LAS VEGAS, CALIFORNIA"",$ 11 107 USD,$ 12 650 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный спорт,
2013 Chevrolet Impala Lt,$ 375 USD,2,2G1WG5E32D1218448,104 093 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 0 USD,$ 7 225 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Публичный коносамент,Повреждение стороны,,Повреждение ходовой части
1993 Ford Thunderbird Lx,$ 100 USD,3,1FAPP6240PH166324,218 709 mi,15.05.2024 19:00 UTC,3.8l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""AIRWAY HEIGHTS, WASHINGTON"",$ 0 USD,$ 0 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Публичный коносамент,Повреждение стороны,,Повреждение передней части
2016 Ram Promaster 2500 2500 High,$ 2 200 USD,1,3C6TRVCG6GE135016,,15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""WOODBURN, OREGON"",$ 0 USD,$ 22 425 USD,OR - CERTIFICATE OF TITLE,Дилерские услуги Copart,Механическое повреждение,грузовой фургон,
2024 Cadillac Xt4 Sport,$ 11 300 USD,2,1GYFZER4XRF138832,3 786 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 40 755 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2011 Bmw 328 I Sulev,$ 625 USD,1,WBAPH5G53BNN59096,132 994 mi(подтвержден),15.05.2024 17:00 UTC,3.0l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 7 688 USD,$ 5 075 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,4-дверный седан,
2010 Toyota Camry Base,$ 750 USD,2,4T1BF3EK8AU549289,163 279 mi(подтвержден),15.05.2024 14:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SPARTANBURG, SOUTH CAROLINA"",$ 6 488 USD,$ 7 525 USD,SC - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2003 Honda Element Ex,$ 2 050 USD,1,5J6YH28673L044185,88 187 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Зеленый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""AIRWAY HEIGHTS, WASHINGTON"",$ 4 176 USD,$ 0 USD,WA - BILL OF SALE,Материальный ущерб,Повреждение передней части,,
2015 Honda Civic Exl,$ 4 250 USD,1,19XFB2F96FE284207,141 116 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 12 538 USD,$ 11 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2023 Chevrolet Camaro Ls,$ 18 100 USD,1,1G1FB3DXXP0128097,29 818 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""ORLANDO, FLORIDA"",$ 0 USD,$ 38 625 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение передней части,,
2008 Subaru Outback 2.5i,$ 525 USD,1,4S4BP61CX87315550,164 914 mi,15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 6 956 USD,$ 5 800 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение ходовой части,,Повреждение передней части
2023 Toyota Camry Le,$ 8 200 USD,1,4T1C11AK4PU837445,12 519 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, MISSOURI"",$ 26 397 USD,$ 27 100 USD,MO - JUNKING CERTIFICATE,Столкновение,Повреждение задней части,,
2019 Kia Forte Fe,$ 3 000 USD,2,3KPF24AD3KE138087,91 677 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Синий,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 15 187 USD,$ 14 825 USD,LA - CERT OF TITLE-SALVAGE,Кража,Вандализм,,Повреждение стороны
2023 Dodge Challenger R/t,$ 24 300 USD,1,2C3CDZBT6PH601565,3 605 mi(подтвержден),15.05.2024 16:00 UTC,5.7l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""EIGHT MILE, FLORIDA"",$ 0 USD,$ 0 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение передней части,,
2021 Harley-davidson Fltrxs,$ 10 100 USD,1,1HD1KTP11MB620699,7 171 mi(подтвержден),15.05.2024 17:00 UTC,2,Бирюзовый,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 20 806 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2015 Nissan Versa S,$ 2 100 USD,1,3N1CN7AP5FL834010,93 321 mi,15.05.2024 19:00 UTC,1.6l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 7 589 USD,$ 8 725 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Повреждение задней части,4-дверный седан,
2021 Nissan Altima Sr,$ 8 100 USD,3,1N4BL4CV8MN367869,56 310 mi,15.05.2024 17:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, FLORIDA"",$ 0 USD,$ 22 325 USD,FL - CERT OF TITLE-SLVG REBLD FLOOD,Вода/Наводнение,Вода/Наводнение,,
2018 Ford Transit T-150,$ 1 800 USD,1,1FTYE1ZM4JKB03007,91 499 mi,15.05.2024 16:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 17 890 USD,$ 23 025 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2023 Toyota 4runner Sr5,$ 15 800 USD,1,JTEEU5JR2P5296992,4 942 mi(подтвержден),15.05.2024 19:00 UTC,4.0l 6,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 38 550 USD,NV - SALVAGE TITLE,Неизвестно,Повреждение передней части,,
2021 Toyota Corolla Le,$ 2 050 USD,1,5YFEPMAE2MP243906,,15.05.2024 16:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""MAGNA, FLORIDA"",$ 0 USD,$ 20 925 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Опрокидывание/Перевертышь,,
2020 Bmw M340xi,$ 21 100 USD,1,WBA5U9C01LFJ75303,,15.05.2024 17:00 UTC,3.0l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 33 646 USD,$ 43 800 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2023 Nissan Altima Sv,$ 7 300 USD,1,1N4BL4DV1PN390493,23 864 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAYWARD, MISSOURI"",$ 16 922 USD,$ 26 275 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,
2019 Ford Explorer Police Interceptor,$ 3 700 USD,1,1FM5K8AR9KGA62952,66 818 mi(подтвержден),15.05.2024 17:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 19 688 USD,$ 18 325 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,Повреждение задней части
2023 Kia Forte Lx,$ 6 800 USD,1,3KPF24AD8PE642027,12 948 mi(подтвержден),15.05.2024 16:00 UTC,2 L 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN MARTIN, CALIFORNIA"",$ 0 USD,$ 22 075 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повреждение стороны,,Повреждение задней части
2024 Mazda Cx-50 Preferred,$ 8 600 USD,1,7MMVABBMXRN174169,,15.05.2024 16:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SAN MARTIN, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Аренда,Повреждение передней части,,Повреждение ходовой части
2023 Ford Mustang,$ 8 100 USD,1,1FA6P8TH9P5105077,31 190 mi(подтвержден),15.05.2024 16:00 UTC,2.3l 4,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""HAYWARD, CALIFORNIA"",$ 0 USD,$ 33 975 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повсюду,,Повреждение ходовой части
2018 Chevrolet Cruze Lt,$ 1 500 USD,2,1G1BE5SM4J7191074,86 188 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 15 505 USD,$ 12 900 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2012 Nissan Altima Base,$ 175 USD,1,1N4AL2AP1CN494692,152 551 mi(подтвержден),15.05.2024 14:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MORAINE, OHIO"",$ 4 595 USD,$ 5 450 USD,OH - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2004 Chevrolet Silverado C2500 Heavy Duty,$ 825 USD,1,1GCHC23U44F210897,,15.05.2024 17:00 UTC,6.0l 8,Серый,Автоматическая,Бензин,задний привод,,,""ANDREWS, NEW MEXICO"",$ 8 806 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2006 Lincoln Town Car Signature,$ 375 USD,2,1LNHM81W56Y604755,,15.05.2024 17:00 UTC,4.6l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""TANNER, ALABAMA"",$ 5 904 USD,$ 4 238 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,,
2002 Toyota Tacoma Double Cab,$ 2 050 USD,1,5TEHN72N82Z895438,264 431 mi,15.05.2024 17:00 UTC,3.4l 6,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,,""NEW ORLEANS, LOUISIANA"",$ 6 838 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2023 Volkswagen Tiguan Se R-line Black,$ 8 700 USD,1,3VVCB7AX5PM087012,13 281 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, MISSISSIPPI"",$ 21 780 USD,$ 30 925 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повреждение передней части,,Повреждение задней части
2018 Infiniti Q50 Luxe,$ 2 750 USD,1,JN1EV7AP7JM361606,66 954 mi(подтвержден),15.05.2024 17:00 UTC,3.0l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,,""NEW ORLEANS, LOUISIANA"",$ 19 231 USD,$ 17 450 USD,LA - CERT OF TITLE-SALVAGE,Кража,Вандализм,,Разукомплектовано
2016 Nissan Versa S,$ 2 000 USD,1,3N1CN7AP4GL840365,63 417 mi(подтвержден),15.05.2024 17:00 UTC,1.6l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 7 237 USD,$ 7 725 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2014 Honda Cr-v Ex,$ 2 550 USD,1,2HKRM3H5XEH559949,117 946 mi(подтвержден),15.05.2024 17:00 UTC,2.4l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""LEBANON, TENNESSEE"",$ 10 061 USD,$ 12 100 USD,TN - SALVAGE CERTIFICATE,Неизвестно,Повреждение стороны,,Повреждение передней части
2022 Audi Q3 Premium S Line 45,$ 3 900 USD,1,WA1DECF31N1022929,18 240 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 0 USD,$ 35 825 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение стороны
2015 Chevrolet Impala Lt,$ 2 300 USD,1,2G1125S35F9161955,112 970 mi(подтвержден),15.05.2024 17:00 UTC,3.6l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, CALIFORNIA"",$ 18 599 USD,$ 13 275 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2006 Bmw 325 I Automatic,$ 800 USD,1,WBAVB17566NK31839,121 894 mi,15.05.2024 19:00 UTC,3.0l 6,Желто-коричневый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 4 250 USD,NV - CERTIFICATE OF TITLE,Неизвестно,Незначительная вмятина/царапины,,
2024 Jeep Wagoneer L Series Ii,$ 41 750 USD,2,1C4SJRBP0RS126400,5 840 mi(подтвержден),15.05.2024 16:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""ELLENWOOD, FLORIDA"",$ 0 USD,$ 0 USD,FL - CERTIFICATE OF TITLE,Аренда,Повреждение задней части,,
2015 Kia Sportage Lx,$ 1 850 USD,3,KNDPB3AC8F7784933,140 831 mi(подтвержден),15.05.2024 17:00 UTC,2.4l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 10 529 USD,$ 8 200 USD,TN - SALVAGE CERTIFICATE,Кража,Нормальный износ,4-дверный спорт,
2015 Jeep Grand Cherokee Overland,$ 5 500 USD,1,1C4RJECG9FC238947,120 035 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 17 738 USD,$ 14 450 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Механическое повреждение,4-дверный спорт,
2016 Mazda 3 Sport,$ 525 USD,1,JM1BM1U70G1322409,141 962 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 11 394 USD,$ 10 625 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный седан,Повреждение стороны
2015 Nissan Pathfinder S,$ 1 000 USD,1,5N1AR2MN1FC648994,122 787 mi(подтвержден),15.05.2024 17:00 UTC,3.5l 6,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 8 716 USD,$ 8 400 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный спорт,Повреждение стороны
2023 Suzuki Gsx1300 Rr,$ 3 200 USD,1,JS1EJ11B0P7100054,,15.05.2024 17:00 UTC,4,Угольный,Механическая,Бензин,,,,""NEW ORLEANS, LOUISIANA"",$ 16 287 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повсюду,,
2005 Chevrolet Express G2500,$ 525 USD,1,1GCGG25V451268982,121 638 mi(подтвержден),15.05.2024 16:00 UTC,4.8l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 8 950 USD,OR - SALVAGE TITLE CERTIFICATE,Вандализм,Вандализм,грузовой фургон,Механическое повреждение
2014 Dodge Journey Sxt,$ 775 USD,1,3C4PDCBG6ET161199,,15.05.2024 19:00 UTC,3.6l 6,Черный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 6 900 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный спорт,Незначительная вмятина/царапины
2013 Kia Soul +,$ 1 350 USD,1,KNDJT2A60D7503177,154 573 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Бежевый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 5 175 USD,$ 6 350 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение рамы,,Незначительная вмятина/царапины
2009 Toyota Rav4 Limited,$ 2 700 USD,1,JTMBK31V395078691,173 219 mi,15.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 10 503 USD,$ 9 350 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,,
2017 Ford Fusion Se,$ 3 200 USD,1,3FA6P0HD5HR332398,59 047 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Белый,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 16 787 USD,$ 12 575 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2022 Ram 2500 Big Horn/lone Star,$ 18 400 USD,1,3C6UR5JLXNG217594,20 837 mi(подтвержден),15.05.2024 16:00 UTC,6.7l 6,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""VAN NUYS, CALIFORNIA"",$ 26 567 USD,$ 50 250 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
2012 Hyundai Santa Fe Gls,$ 875 USD,2,5XYZGDAB3CG112669,154 317 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""NORTH LAS VEGAS, WISCONSIN"",$ 0 USD,$ 5 750 USD,WI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,
2010 Nissan Altima Base,$ 650 USD,2,1N4AL2AP9AN441803,154 981 mi,15.05.2024 17:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, MISSISSIPPI"",$ 6 702 USD,$ 5 100 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повреждение передней части,,
2011 Hyundai Elantra Gls,$ 2 000 USD,1,KMHDH4AE7BU099581,129 646 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 6 200 USD,CA - SALVAGE CERTIFICATE,Кража,Повсюду,,Вандализм
2005 Ford F350 Srw Super Duty,$ 3 300 USD,1,1FTWW31P85EC62008,264 785 mi,15.05.2024 19:00 UTC,6.0l 8,Синий,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 14 672 USD,$ 13 800 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2013 Hyundai Santa Fe Sport,$ 2 950 USD,4,5XYZU3LA3DG011298,149 758 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, MISSOURI"",$ 0 USD,$ 7 525 USD,MO - CERT OF TITLE-REPOSSESSED,Дилерские услуги Copart,Незначительная вмятина/царапины,4-дверный спорт,
2011 Cadillac Cts Luxury Collection,$ 250 USD,3,1G6DG5EY5B0110282,,15.05.2024 19:00 UTC,3.0l 6,Бежевый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 6 275 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Изьятие,Повреждение передней части,,Повреждение задней части
2019 Ford Transit T-150,$ 12 500 USD,1,1FTYE1YM9KKA96784,108 228 mi(подтвержден),15.05.2024 16:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""GRAHAM, WASHINGTON"",$ 984 USD,$ 25 850 USD,WA - VEHICLE CERT OF OWNERSHIP-TITL,Аренда,Нормальный износ,,
